
131 static files copied to '/static'.
Operations to perform:
  Apply all migrations: admin, api, auth, contenttypes, sessions
Running migrations:
  No migrations to apply.
Watching for file changes with StatReloader
Performing system checks...

System check identified no issues (0 silenced).
November 06, 2024 - 16:26:09
Django version 4.2.16, using settings 'voiture.settings'
Starting development server at http://0.0.0.0:8080/
Quit the server with CONTROL-C.

[06/Nov/2024 16:26:10] "GET /login/?next=/ HTTP/1.1" 200 1872
[06/Nov/2024 16:26:10] "GET /static/css/dark.css HTTP/1.1" 200 5778
[06/Nov/2024 16:26:12] "GET /garage/ HTTP/1.1" 302 0
[06/Nov/2024 16:26:12] "GET /login/?next=/garage/ HTTP/1.1" 200 1872
[06/Nov/2024 16:26:12] "GET /static/css/dark.css HTTP/1.1" 200 5778
[06/Nov/2024 16:26:14] "GET /signup/ HTTP/1.1" 200 2051
[06/Nov/2024 16:26:14] "GET /static/css/dark.css HTTP/1.1" 200 5778
[06/Nov/2024 16:26:20] "POST /api/users/add/ HTTP/1.1" 201 325
[06/Nov/2024 16:26:20] "POST /signup/ HTTP/1.1" 302 0
[06/Nov/2024 16:26:20] "GET / HTTP/1.1" 302 0
[06/Nov/2024 16:26:20] "GET /login/?next=/ HTTP/1.1" 200 1872
[06/Nov/2024 16:26:20] "GET /static/css/dark.css HTTP/1.1" 200 5778
[06/Nov/2024 16:26:27] "POST /login/?next=/ HTTP/1.1" 200 2085
[06/Nov/2024 16:26:27] "GET /static/css/dark.css HTTP/1.1" 200 5778
[06/Nov/2024 16:26:32] "POST /login/?next=/ HTTP/1.1" 302 0
[06/Nov/2024 16:26:32] "GET / HTTP/1.1" 302 0
[06/Nov/2024 16:26:32] "GET /login/?next=/ HTTP/1.1" 200 1872
[06/Nov/2024 16:26:32] "GET /static/css/dark.css HTTP/1.1" 200 5778
[06/Nov/2024 16:26:34] "GET /signup/ HTTP/1.1" 200 2051
[06/Nov/2024 16:26:34] "GET /static/css/dark.css HTTP/1.1" 200 5778
[06/Nov/2024 16:26:45] "POST /api/users/add/ HTTP/1.1" 201 325
[06/Nov/2024 16:26:45] "POST /signup/ HTTP/1.1" 302 0
[06/Nov/2024 16:26:45] "GET / HTTP/1.1" 302 0
[06/Nov/2024 16:26:45] "GET /login/?next=/ HTTP/1.1" 200 1872
[06/Nov/2024 16:26:45] "GET /static/css/dark.css HTTP/1.1" 200 5778
[06/Nov/2024 16:26:50] "POST /login/?next=/ HTTP/1.1" 200 2085
[06/Nov/2024 16:26:50] "GET /static/css/dark.css HTTP/1.1" 200 5778
[09/Nov/2024 18:23:05] "GET / HTTP/1.1" 302 0
[09/Nov/2024 18:23:05] "GET /login/?next=/ HTTP/1.1" 200 1872
[09/Nov/2024 18:23:05] "GET /static/css/dark.css HTTP/1.1" 200 5778
[09/Nov/2024 18:23:09] "POST /login/?next=/ HTTP/1.1" 200 2085
[09/Nov/2024 18:23:09] "GET /static/css/dark.css HTTP/1.1" 200 5778
[09/Nov/2024 18:23:11] "GET /signup/ HTTP/1.1" 200 2051
[09/Nov/2024 18:23:11] "GET /static/css/dark.css HTTP/1.1" 200 5778
[09/Nov/2024 18:23:17] "POST /signup/ HTTP/1.1" 200 2154
[09/Nov/2024 18:23:17] "GET /static/css/dark.css HTTP/1.1" 200 5778
[09/Nov/2024 18:23:24] "POST /api/users/add/ HTTP/1.1" 201 325
[09/Nov/2024 18:23:24] "POST /signup/ HTTP/1.1" 302 0
[09/Nov/2024 18:23:24] "GET / HTTP/1.1" 302 0
[09/Nov/2024 18:23:24] "GET /login/?next=/ HTTP/1.1" 200 1872
[09/Nov/2024 18:23:25] "GET /static/css/dark.css HTTP/1.1" 200 5778
[09/Nov/2024 18:23:27] "GET /voiture/ HTTP/1.1" 302 0
[09/Nov/2024 18:23:27] "GET /login/?next=/voiture/ HTTP/1.1" 200 1872
[09/Nov/2024 18:23:27] "GET /static/css/dark.css HTTP/1.1" 200 5778
[09/Nov/2024 18:23:34] "POST /login/?next=/voiture/ HTTP/1.1" 200 2085
[09/Nov/2024 18:23:34] "GET /static/css/dark.css HTTP/1.1" 200 5778
[09/Nov/2024 18:23:37] "GET /signup/ HTTP/1.1" 200 2051
[09/Nov/2024 18:23:37] "GET /static/css/dark.css HTTP/1.1" 200 5778
[09/Nov/2024 18:23:47] "POST /api/users/add/ HTTP/1.1" 201 325
[09/Nov/2024 18:23:47] "POST /signup/ HTTP/1.1" 302 0
[09/Nov/2024 18:23:47] "GET / HTTP/1.1" 302 0
[09/Nov/2024 18:23:47] "GET /login/?next=/ HTTP/1.1" 200 1872
[09/Nov/2024 18:23:47] "GET /static/css/dark.css HTTP/1.1" 200 5778
[09/Nov/2024 18:23:54] "POST /login/?next=/ HTTP/1.1" 200 2079
[09/Nov/2024 18:23:54] "GET /static/css/dark.css HTTP/1.1" 200 5778
[09/Nov/2024 18:24:01] "POST /login/?next=/ HTTP/1.1" 200 2085
[09/Nov/2024 18:24:01] "GET /static/css/dark.css HTTP/1.1" 200 5778
[09/Nov/2024 18:24:04] "GET /voiture/ HTTP/1.1" 302 0
[09/Nov/2024 18:24:04] "GET /login/?next=/voiture/ HTTP/1.1" 200 1872
[09/Nov/2024 18:24:04] "GET /static/css/dark.css HTTP/1.1" 200 5778
[09/Nov/2024 18:24:36] "GET /signup/ HTTP/1.1" 200 2051
[09/Nov/2024 18:24:36] "GET /static/css/dark.css HTTP/1.1" 200 5778
